Información relacionada a:,Estímulos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS ESTÍMULOS","MONTO BRUTO DE LOS ESTÍMULOS","MONTO NETO DE LOS ESTÍMULOS","TIPO DE MONEDA DE LOS ESTÍMULOS","PERIODICIDAD DE LOS ESTÍMULOS"
198422361,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198422459,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198422470,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198422790,"11/08/22","11/08/22","ESTIMULO ACADEMICO","2925.09","2925.09","PESOS MEXICANOS","MENSUAL"
198422793,"11/08/22","11/08/22","ESTIMULO ACADEMICO","14625.45","14625.45","PESOS MEXICANOS","MENSUAL"
198422794,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198422795,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198422928,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198422929,"11/08/22","11/08/22","ESTIMULO ACADEMICO","14625.45","14625.45","PESOS MEXICANOS","MENSUAL"
198422930,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31400.72","31400.72","PESOS MEXICANOS","MENSUAL"
198422931,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198423010,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423011,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423090,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423091,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423092,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198423093,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423094,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423095,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198423180,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198423181,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198423183,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423276,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198423283,"11/08/22","11/08/22","ESTIMULO ACADEMICO","8775.27","8775.27","PESOS MEXICANOS","MENSUAL"
198423286,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31400.72","31400.72","PESOS MEXICANOS","MENSUAL"
198423287,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198423304,"11/08/22","11/08/22","ESTIMULO ACADEMICO","8775.27","8775.27","PESOS MEXICANOS","MENSUAL"
198423305,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198423306,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198423329,"11/08/22","11/08/22","ESTIMULO ACADEMICO","14625.45","14625.45","PESOS MEXICANOS","MENSUAL"
198423330,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423350,"11/08/22","11/08/22","ESTIMULO ACADEMICO","2925.09","2925.09","PESOS MEXICANOS","MENSUAL"
198423351,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198423352,"11/08/22","11/08/22","ESTIMULO ACADEMICO","17550.54","17550.54","PESOS MEXICANOS","MENSUAL"
198423353,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28350.54","28350.54","PESOS MEXICANOS","MENSUAL"
198423386,"11/08/22","11/08/22","ESTIMULO ACADEMICO","23400.72","23400.72","PESOS MEXICANOS","MENSUAL"
198423387,"11/08/22","11/08/22","BECAS","9200","9200","PESOS MEXICANOS","MENSUAL"
198423388,"11/08/22","11/08/22","ESTIMULO ACADEMICO","2925.09","2925.09","PESOS MEXICANOS","MENSUAL"
