Información relacionada a:,Prestaciones económicas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRESTACIONES ECONÓMICAS","MONTO BRUTO DE LAS PRESTACIONES ECONÓMICAS","MONTO NETO DE LAS PRESTACIONES ECONÓMICAS","TIPO DE MONEDA DE LAS PRESTACIONES ECONÓMICAS","PERIODICIDAD DE LAS PRESTACIONES ECONÓMICAS"
198423055,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","74189.7","74189.7","PESOS MEXICANOS","ANUAL"
198422221,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198421137,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","31921.72","31921.72","PESOS MEXICANOS","ANUAL"
198422988,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","24579.17","24579.17","PESOS MEXICANOS","ANUAL"
198421502,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","9158.64","9158.64","PESOS MEXICANOS","ANUAL"
198422924,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46368.56","46368.56","PESOS MEXICANOS","ANUAL"
198423073,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","94936.04","94936.04","PESOS MEXICANOS","ANUAL"
198420669,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","204507.64","204507.64","PESOS MEXICANOS","ANUAL"
198420670,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","95070.27","95070.27","PESOS MEXICANOS","ANUAL"
198423257,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111441.89","111441.89","PESOS MEXICANOS","ANUAL"
198422340,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","19133.43","19133.43","PESOS MEXICANOS","ANUAL"
198420973,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111441.89","111441.89","PESOS MEXICANOS","ANUAL"
198421341,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","10191.89","10191.89","PESOS MEXICANOS","ANUAL"
198422257,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","4149.58","4149.58","PESOS MEXICANOS","ANUAL"
198436060,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","113819.57","113819.57","PESOS MEXICANOS","ANUAL"
198434531,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","16421.83","16421.83","PESOS MEXICANOS","ANUAL"
198434532,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","16585.98","16585.98","PESOS MEXICANOS","ANUAL"
198433015,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","3806.35","3806.35","PESOS MEXICANOS","ANUAL"
198438328,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","91923.64","91923.64","PESOS MEXICANOS","ANUAL"
198433579,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","9585.41","9585.41","PESOS MEXICANOS","ANUAL"
198434644,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","12308.44","12308.44","PESOS MEXICANOS","ANUAL"
198432741,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","42454.39","42454.39","PESOS MEXICANOS","ANUAL"
198432742,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","34359.94","34359.94","PESOS MEXICANOS","ANUAL"
198432459,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","16734.27","16734.27","PESOS MEXICANOS","ANUAL"
198433406,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","18744.42","18744.42","PESOS MEXICANOS","ANUAL"
198435904,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","36129.26","36129.26","PESOS MEXICANOS","ANUAL"
198437808,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","27860.71","27860.71","PESOS MEXICANOS","ANUAL"
198437809,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","18064.64","18064.64","PESOS MEXICANOS","ANUAL"
198435918,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","12382.56","12382.56","PESOS MEXICANOS","ANUAL"
198435919,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198437109,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","15711.8","15711.8","PESOS MEXICANOS","ANUAL"
198437218,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","95070.27","95070.27","PESOS MEXICANOS","ANUAL"
198437283,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","18125.96","18125.96","PESOS MEXICANOS","ANUAL"
198437341,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","80317.46","80317.46","PESOS MEXICANOS","ANUAL"
198437602,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","8829.32","8829.32","PESOS MEXICANOS","ANUAL"
198436545,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","21935.2","21935.2","PESOS MEXICANOS","ANUAL"
198436779,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","7585.33","7585.33","PESOS MEXICANOS","ANUAL"
198437290,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","80204.05","80204.05","PESOS MEXICANOS","ANUAL"
198437615,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","24487.41","24487.41","PESOS MEXICANOS","ANUAL"
198438051,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","4567.61","4567.61","PESOS MEXICANOS","ANUAL"
198434305,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","19031.23","19031.23","PESOS MEXICANOS","ANUAL"
198433078,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","14191.03","14191.03","PESOS MEXICANOS","ANUAL"
198433079,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","80317.46","80317.46","PESOS MEXICANOS","ANUAL"
198433726,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","735.77","735.77","PESOS MEXICANOS","ANUAL"
198433728,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","7130.16","7130.16","PESOS MEXICANOS","ANUAL"
198438174,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","14128.96","14128.96","PESOS MEXICANOS","ANUAL"
198440222,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","21227.29","21227.29","PESOS MEXICANOS","ANUAL"
198442538,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","25806.69","25806.69","PESOS MEXICANOS","ANUAL"
198443125,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","50160.67","50160.67","PESOS MEXICANOS","ANUAL"
198440262,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","13141.58","13141.58","PESOS MEXICANOS","ANUAL"
198443551,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","5660.04","5660.04","PESOS MEXICANOS","ANUAL"
198442639,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","9284.99","9284.99","PESOS MEXICANOS","ANUAL"
198441148,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","11235.85","11235.85","PESOS MEXICANOS","ANUAL"
198439341,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","15906.6","15906.6","PESOS MEXICANOS","ANUAL"
198440494,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","69473.25","69473.25","PESOS MEXICANOS","ANUAL"
198443465,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","16317.19","16317.19","PESOS MEXICANOS","ANUAL"
198443535,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","4414.65","4414.65","PESOS MEXICANOS","ANUAL"
198429176,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198427178,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","147391.02","147391.02","PESOS MEXICANOS","ANUAL"
198429162,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46368.56","46368.56","PESOS MEXICANOS","ANUAL"
198429184,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","74189.7","74189.7","PESOS MEXICANOS","ANUAL"
198427089,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","1001.07","1001.07","PESOS MEXICANOS","ANUAL"
198427645,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","43502.31","43502.31","PESOS MEXICANOS","ANUAL"
198429188,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198429297,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","15322.73","15322.73","PESOS MEXICANOS","ANUAL"
198430453,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","5026.22","5026.22","PESOS MEXICANOS","ANUAL"
198430705,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","22187.4","22187.4","PESOS MEXICANOS","ANUAL"
198427554,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","40452.28","40452.28","PESOS MEXICANOS","ANUAL"
198426445,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","31139.74","31139.74","PESOS MEXICANOS","ANUAL"
198427204,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","22041.85","22041.85","PESOS MEXICANOS","ANUAL"
198427467,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","7095.52","7095.52","PESOS MEXICANOS","ANUAL"
