Información relacionada a:,Percepciones adicionales en dinero, Monto bruto y neto, tipo de moneda y su periodicidad 
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO","TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO","PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO"
52580041,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580042,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580043,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580100,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580101,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580102,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580103,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580160,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580161,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580162,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580163,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580220,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580221,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580222,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580223,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580284,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580285,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580286,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580287,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580406,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580407,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
