Información relacionada a:,Bonos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS BONOS","MONTO BRUTO DE LOS BONOS","MONTO NETO DE LOS BONOS","TIPO DE MONEDA DE LOS BONOS","PERIODICIDAD DE LOS BONOS"
52579920,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579921,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579922,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579923,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579980,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579981,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579982,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579983,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580040,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580041,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580042,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580043,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580100,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580101,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580102,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580103,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580160,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580161,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580162,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580163,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580220,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580221,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580222,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580223,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580284,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580285,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580286,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580287,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580406,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
