Información relacionada a:,Dietas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS DIETAS","MONTO BRUTO DE LAS DIETAS","MONTO NETO DE LAS DIETAS","TIPO DE MONEDA DE LAS DIETAS","PERIODICIDAD DE LAS DIETAS"
112885869,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885870,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885871,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885872,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885893,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885894,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885895,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885896,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885897,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885923,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885924,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885925,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885926,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885927,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885853,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885854,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885855,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885856,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885857,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885873,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885874,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885875,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885876,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885877,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885898,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885899,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885900,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885901,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885902,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885928,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885929,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885930,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885931,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885932,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885878,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885879,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885880,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885881,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885882,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885903,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885904,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885905,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885906,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885907,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885933,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885934,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885935,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885936,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885937,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885908,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885909,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885910,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885911,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885912,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885938,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885939,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885940,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885941,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885942,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885943,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885944,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885945,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885946,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885947,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885804,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885803,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885951,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885952,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885953,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885954,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885955,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885956,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885957,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885805,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885806,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885807,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885749,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885750,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885751,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885752,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885753,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885754,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885755,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885756,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885757,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885758,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885759,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885775,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885776,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885777,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885778,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885779,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
