Información relacionada a:,Dietas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS DIETAS","MONTO BRUTO DE LAS DIETAS","MONTO NETO DE LAS DIETAS","TIPO DE MONEDA DE LAS DIETAS","PERIODICIDAD DE LAS DIETAS"
52172909,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172910,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172953,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172954,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172955,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172956,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172957,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172958,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173011,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173012,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173013,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173014,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173015,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173016,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173077,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173078,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173079,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173080,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173081,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173082,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173149,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173150,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173151,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173152,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173153,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173154,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
