Información relacionada a:,Primas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRIMAS","MONTO BRUTO DE LAS PRIMAS","MONTO NETO DE LAS PRIMAS","TIPO DE MONEDA DE LAS PRIMAS","PERIODICIDAD DE LAS PRIMAS"
1591694269,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694270,"25/07/22","25/07/22","PRIMA VACACIONAL","10890.63","8315.02","PESOS","TRES VECES AL AÑO"
1591694271,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694272,"25/07/22","25/07/22","PRIMA VACACIONAL","13438.35","9735.96","PESOS","TRES VECES AL AÑO"
1591694273,"25/07/22","25/07/22","PRIMA VACACIONAL","18345.8","12986.39","PESOS","TRES VECES AL AÑO"
1591694350,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694351,"25/07/22","25/07/22","PRIMA VACACIONAL","8424.95","6556.56","PESOS","TRES VECES AL AÑO"
1591694352,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694353,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694354,"25/07/22","25/07/22","PRIMA VACACIONAL","17904.55","12677.51","PESOS","TRES VECES AL AÑO"
1591694430,"25/07/22","25/07/22","PRIMA VACACIONAL","8249.52","6424.67","PESOS","TRES VECES AL AÑO"
1591694431,"25/07/22","25/07/22","PRIMA VACACIONAL","26696.58","18474.25","PESOS","TRES VECES AL AÑO"
1591694432,"25/07/22","25/07/22","PRIMA VACACIONAL","6246.82","5015.26","PESOS","TRES VECES AL AÑO"
1591694433,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694434,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694509,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694510,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694511,"25/07/22","25/07/22","PRIMA VACACIONAL","16715.12","11844.91","PESOS","TRES VECES AL AÑO"
1591694512,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694513,"25/07/22","25/07/22","PRIMA VACACIONAL","5190.89","4184.88","PESOS","TRES VECES AL AÑO"
1591694589,"25/07/22","25/07/22","PRIMA VACACIONAL","20227.35","14303.47","PESOS","TRES VECES AL AÑO"
1591694590,"25/07/22","25/07/22","PRIMA VACACIONAL","3556.12","2915.26","PESOS","TRES VECES AL AÑO"
1591694591,"25/07/22","25/07/22","PRIMA VACACIONAL","11184.09","8483.56","PESOS","TRES VECES AL AÑO"
1591694592,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694593,"25/07/22","25/07/22","PRIMA VACACIONAL","5751.45","4625.7","PESOS","TRES VECES AL AÑO"
1591694669,"25/07/22","25/07/22","PRIMA VACACIONAL","5831.58","4688.71","PESOS","TRES VECES AL AÑO"
1591694670,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694671,"25/07/22","25/07/22","PRIMA VACACIONAL","16213.38","11493.7","PESOS","TRES VECES AL AÑO"
1591694672,"25/07/22","25/07/22","PRIMA VACACIONAL","18972.99","13425.42","PESOS","TRES VECES AL AÑO"
1591694673,"25/07/22","25/07/22","PRIMA VACACIONAL","3606.52","2949.13","PESOS","TRES VECES AL AÑO"
1591694750,"25/07/22","25/07/22","PRIMA VACACIONAL","2870.62","2444.9","PESOS","TRES VECES AL AÑO"
1591694751,"25/07/22","25/07/22","PRIMA VACACIONAL","13704.41","9899.6","PESOS","TRES VECES AL AÑO"
1591694752,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591694753,"25/07/22","25/07/22","PRIMA VACACIONAL","5534.97","4455.46","PESOS","TRES VECES AL AÑO"
1591694754,"25/07/22","25/07/22","PRIMA VACACIONAL","9024.05","7014.75","PESOS","TRES VECES AL AÑO"
1591689603,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591689604,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591689605,"25/07/22","25/07/22","PRIMA VACACIONAL","7704.44","6038.69","PESOS","TRES VECES AL AÑO"
1591689606,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591689607,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591689669,"25/07/22","25/07/22","PRIMA VACACIONAL","0","0","PESOS","TRES VECES AL AÑO"
1591689670,"25/07/22","25/07/22","PRIMA VACACIONAL","11869.08","8859.02","PESOS","TRES VECES AL AÑO"
