Información relacionada a:,Ingresos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS INGRESOS","MONTO BRUTO DE LOS INGRESOS","MONTO NETO DE LOS INGRESOS","TIPO DE MONEDA DE LOS INGRESOS","PERIODICIDAD DE LOS INGRESOS"
1591694269,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","0","0","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694270,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","34092.4","28097.99","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694271,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","0","0","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694272,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","39685.82","32375.83","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694273,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","52300.54","41390.92","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694350,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","0","0","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694351,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","27189.5","22818.65","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694352,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","0","0","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694353,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","0","0","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694354,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","50875.1","40393.12","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694430,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","26883.02","22581.97","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694431,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","72880","55796.55","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694432,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","21164.02","18084.55","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694433,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","0","0","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694434,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","0","0","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694509,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","0","0","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694510,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","0","0","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694511,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","48020","38394.55","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
1591694512,"25/07/22","25/07/22","PERCEPCIONES ORDINARIAS","6535.6","6352.04","PESOS","MENSUAL (ACUMULADO MENSUAL POR EMPLEADO)"
