Información relacionada a:,Primas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRIMAS","MONTO BRUTO DE LAS PRIMAS","MONTO NETO DE LAS PRIMAS","TIPO DE MONEDA DE LAS PRIMAS","PERIODICIDAD DE LAS PRIMAS"
1583468518,"13/07/22","13/07/22","Compensación por antigüedad","17203.72","","MN","MENSUAL"
1583468566,"13/07/22","13/07/22","Compensación por antigüedad","3432.04","","MN","MENSUAL"
1583468594,"13/07/22","13/07/22","Compensación por antigüedad","4840.98","","MN","MENSUAL"
1583468640,"13/07/22","13/07/22","Compensación por antigüedad","6057.74","","MN","MENSUAL"
1583468641,"13/07/22","13/07/22","Compensación por antigüedad","5834.82","","MN","MENSUAL"
1583468689,"13/07/22","13/07/22","Compensación por antigüedad","5451.96","","MN","MENSUAL"
1583468690,"13/07/22","13/07/22","Compensación por antigüedad","6057.74","","MN","MENSUAL"
1583468691,"13/07/22","13/07/22","Compensación por antigüedad","13624.64","","MN","MENSUAL"
1583468739,"13/07/22","13/07/22","Compensación por antigüedad","15912.9","","MN","MENSUAL"
1583468740,"13/07/22","13/07/22","Compensación por antigüedad","5722.42","","MN","MENSUAL"
1583468741,"13/07/22","13/07/22","Compensación por antigüedad","13898.12","","MN","MENSUAL"
1583468782,"13/07/22","13/07/22","Compensación por antigüedad","16239.72","","MN","MENSUAL"
1583468783,"13/07/22","13/07/22","Compensación por antigüedad","3400.38","","MN","MENSUAL"
1583468784,"13/07/22","13/07/22","Compensación por antigüedad","11640.32","","MN","MENSUAL"
1583468879,"13/07/22","13/07/22","Compensación por antigüedad","15497.12","","MN","MENSUAL"
1583468880,"13/07/22","13/07/22","Compensación por antigüedad","8351.26","","MN","MENSUAL"
1583468928,"13/07/22","13/07/22","Compensación por antigüedad","1307.42","","MN","MENSUAL"
1583468929,"13/07/22","13/07/22","Compensación por antigüedad","4469.83","","MN","MENSUAL"
