Información relacionada a:,Gratificaciones, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS GRATIFICACIONES","MONTO BRUTO DE LAS GRATIFICACIONES","MONTO NETO DE LAS GRATIFICACIONES","TIPO DE MONEDA DE LAS GRATIFICACIONES","PERIODICIDAD DE LAS GRATIFICACIONES"
51768178,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768166,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768154,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768148,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767992,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767918,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767845,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767702,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767624,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767478,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767205,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767132,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767054,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766970,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766896,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768459,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768440,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768428,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768416,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768403,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767986,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767839,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767769,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767696,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767618,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767547,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767472,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767398,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767278,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767199,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767126,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767048,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766964,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766890,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768396,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768390,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768384,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768378,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767980,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
