Información relacionada a:,Estímulos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS ESTÍMULOS","MONTO BRUTO DE LOS ESTÍMULOS","MONTO NETO DE LOS ESTÍMULOS","TIPO DE MONEDA DE LOS ESTÍMULOS","PERIODICIDAD DE LOS ESTÍMULOS"
198462967,"11/08/22","11/08/22","ESTIMULO ACADEMICO","2925.09","2925.09","PESOS MEXICANOS","MENSUAL"
198463060,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198463442,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198463830,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198464210,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198464215,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
198464500,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198464504,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198464598,"11/08/22","11/08/22","ESTIMULO ACADEMICO","11700.36","11700.36","PESOS MEXICANOS","MENSUAL"
198464600,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198465365,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198465366,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
198465555,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198465556,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198465557,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198465558,"11/08/22","11/08/22","ESTIMULO ACADEMICO","23400.72","23400.72","PESOS MEXICANOS","MENSUAL"
198465653,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198465656,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","19575.27","19575.27","PESOS MEXICANOS","MENSUAL"
198465748,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198466041,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198466228,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198466326,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198466329,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
198466421,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198466423,"11/08/22","11/08/22","BECAS","8000","8000","PESOS MEXICANOS","MENSUAL"
198466424,"11/08/22","11/08/22","ESTIMULO ACADEMICO","14625.45","14625.45","PESOS MEXICANOS","MENSUAL"
198461832,"11/08/22","11/08/22","ESTIMULO ACADEMICO","14625.45","14625.45","PESOS MEXICANOS","MENSUAL"
198462162,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198462217,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198467374,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198467462,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","26750.54","26750.54","PESOS MEXICANOS","MENSUAL"
198467539,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","35525.81","35525.81","PESOS MEXICANOS","MENSUAL"
198467787,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198467840,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198462230,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","19700.36","19700.36","PESOS MEXICANOS","MENSUAL"
198462429,"11/08/22","11/08/22","BECAS","9200","9200","PESOS MEXICANOS","MENSUAL"
198462511,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28350.54","28350.54","PESOS MEXICANOS","MENSUAL"
198462873,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
198462874,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198462973,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198463066,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198463067,"11/08/22","11/08/22","ESTIMULO ACADEMICO","23400.72","23400.72","PESOS MEXICANOS","MENSUAL"
198463068,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198463256,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198463354,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","50151.26","50151.26","PESOS MEXICANOS","MENSUAL"
198463930,"11/08/22","11/08/22","BECAS","9200","9200","PESOS MEXICANOS","MENSUAL"
198464027,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198464314,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198464317,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198464411,"11/08/22","11/08/22","BECAS","9200","9200","PESOS MEXICANOS","MENSUAL"
198464505,"11/08/22","11/08/22","ESTIMULO ACADEMICO","23400.72","23400.72","PESOS MEXICANOS","MENSUAL"
198464510,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198464603,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198464702,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198465084,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198465658,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198466138,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198466330,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","25550.54","25550.54","PESOS MEXICANOS","MENSUAL"
198466331,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198466333,"11/08/22","11/08/22","BECAS","8000","8000","PESOS MEXICANOS","MENSUAL"
198466334,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28350.54","28350.54","PESOS MEXICANOS","MENSUAL"
198466335,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28350.54","28350.54","PESOS MEXICANOS","MENSUAL"
198466430,"11/08/22","11/08/22","ESTIMULO ACADEMICO","5850.18","5850.18","PESOS MEXICANOS","MENSUAL"
198466524,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198466814,"11/08/22","11/08/22","ESTIMULO ACADEMICO","14625.45","14625.45","PESOS MEXICANOS","MENSUAL"
198467002,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198467380,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","29675.63","29675.63","PESOS MEXICANOS","MENSUAL"
198467466,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198467796,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198467841,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198467860,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
198467863,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198462240,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198462241,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198462362,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","29675.63","29675.63","PESOS MEXICANOS","MENSUAL"
198462367,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","25550.54","25550.54","PESOS MEXICANOS","MENSUAL"
198462438,"11/08/22","11/08/22","ESTIMULO ACADEMICO","5850.18","5850.18","PESOS MEXICANOS","MENSUAL"
198462516,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198462517,"11/08/22","11/08/22","ESTIMULO ACADEMICO","23400.72","23400.72","PESOS MEXICANOS","MENSUAL"
198462878,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198462881,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198462978,"11/08/22","11/08/22","ESTIMULO ACADEMICO","8775.27","8775.27","PESOS MEXICANOS","MENSUAL"
198462979,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198463070,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198463075,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198463171,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198463267,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198463458,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198463459,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198463551,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","29675.63","29675.63","PESOS MEXICANOS","MENSUAL"
198464031,"11/08/22","11/08/22","ESTIMULO ACADEMICO","5850.18","5850.18","PESOS MEXICANOS","MENSUAL"
198464321,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198464322,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198464511,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
198464612,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28350.54","28350.54","PESOS MEXICANOS","MENSUAL"
198464800,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198465090,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","35525.81","35525.81","PESOS MEXICANOS","MENSUAL"
198465091,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198465279,"11/08/22","11/08/22","BECAS","8000","8000","PESOS MEXICANOS","MENSUAL"
198465379,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198465472,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","56001.44","56001.44","PESOS MEXICANOS","MENSUAL"
198465473,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198465474,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198466053,"11/08/22","11/08/22","ESTIMULO ACADEMICO","11700.36","11700.36","PESOS MEXICANOS","MENSUAL"
198466148,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198466241,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198466243,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198466337,"11/08/22","11/08/22","ESTIMULO ACADEMICO","14625.45","14625.45","PESOS MEXICANOS","MENSUAL"
198466338,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198466339,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198466437,"11/08/22","11/08/22","ESTIMULO ACADEMICO","2925.09","2925.09","PESOS MEXICANOS","MENSUAL"
198466914,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198467291,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28350.54","28350.54","PESOS MEXICANOS","MENSUAL"
198467469,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
198467470,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198467747,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198467804,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198467874,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198462245,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31400.72","31400.72","PESOS MEXICANOS","MENSUAL"
198462302,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198462441,"11/08/22","11/08/22","ESTIMULO ACADEMICO","23400.72","23400.72","PESOS MEXICANOS","MENSUAL"
198462885,"11/08/22","11/08/22","ESTIMULO ACADEMICO","5850.18","5850.18","PESOS MEXICANOS","MENSUAL"
198462889,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198462985,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198463080,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198463272,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198463364,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198463367,"11/08/22","11/08/22","BECAS","9200","9200","PESOS MEXICANOS","MENSUAL"
198463460,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198463463,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198463464,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198464037,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198464135,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198464327,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","22625.45","22625.45","PESOS MEXICANOS","MENSUAL"
198464328,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198464517,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","29675.63","29675.63","PESOS MEXICANOS","MENSUAL"
198464520,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198464615,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198464617,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31400.72","31400.72","PESOS MEXICANOS","MENSUAL"
198464709,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198464805,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
198465288,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198465289,"11/08/22","11/08/22","ESTIMULO ACADEMICO","23400.72","23400.72","PESOS MEXICANOS","MENSUAL"
198465482,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198465575,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198465577,"11/08/22","11/08/22","ESTIMULO ACADEMICO","11700.36","11700.36","PESOS MEXICANOS","MENSUAL"
198465962,"11/08/22","11/08/22","ESTIMULO ACADEMICO","8775.27","8775.27","PESOS MEXICANOS","MENSUAL"
198465963,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198466058,"11/08/22","11/08/22","ESTIMULO ACADEMICO","26325.81","26325.81","PESOS MEXICANOS","MENSUAL"
198466059,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","25550.54","25550.54","PESOS MEXICANOS","MENSUAL"
198466249,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198466251,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198466344,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198466345,"11/08/22","11/08/22","ESTIMULO ACADEMICO","2925.09","2925.09","PESOS MEXICANOS","MENSUAL"
198466534,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198466537,"11/08/22","11/08/22","ESTIMULO ACADEMICO","17550.54","17550.54","PESOS MEXICANOS","MENSUAL"
198466539,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31400.72","31400.72","PESOS MEXICANOS","MENSUAL"
198466826,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","19700.36","19700.36","PESOS MEXICANOS","MENSUAL"
198467107,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198467202,"11/08/22","11/08/22","ESTIMULO ACADEMICO","8775.27","8775.27","PESOS MEXICANOS","MENSUAL"
198467475,"11/08/22","11/08/22","BECAS","9200","9200","PESOS MEXICANOS","MENSUAL"
198467751,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
